run_name,k,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
k2.4,2.3999554367201426,0.04062343309404563,0.5188911169477669,0.04034819806147499,-0.0047208293273945275
k2.5,2.5000000000000004,0.040347454249818074,0.2681578629840535,0.04030886621379337,-0.00176419074923035
k2.6,2.6000445632798574,0.0392219336293436,-0.41053934540674836,0.03857775552105297,-0.007079325997755821
k2.7,2.6999777183600715,0.03882642261602309,-0.37512387382158496,0.038669933647329596,-0.0034824308850508415
k2.8,2.800022281639929,0.03496655948240896,0.4892312053063552,0.034966553036810705,2.1231126879075525e-05
k2.9,2.899955436720143,0.035000336586664474,-0.21370988460906934,0.034784383478043204,-0.0038820390559909596
k3.0,3.0000000000000004,0.034263491937479344,-0.4083146364626362,0.03425090937051322,-0.0009284864256419645
k3.1,3.1000445632798574,0.03439721261581722,-0.19189922829123313,0.03434180040242396,0.001951661050953478
k3.2,3.1999777183600715,0.03515160107031343,-0.28936311066955905,0.035118397014338255,0.0015274976104001925
k3.3,3.300022281639929,0.031760436151160525,0.2902997713932084,0.03154158599255178,0.0037220501859063734
k3.4,3.399955436720143,0.029251521901725027,0.020171315820901252,0.029190299387128464,0.0018915483755131575
k3.5,3.5,0.025758922096343874,0.2433530861813877,0.025468835616796522,0.0038549292976797346
k3.6,3.6000445632798574,0.027372111563946398,-0.7211114738489928,0.027366578570343195,0.0005503351909160589
k3.7,3.6999777183600715,0.026711632850821843,-0.5000414692679194,0.026706619385413393,-0.0005175041640085694
k3.8,3.8000222816399285,0.02643628283021765,-0.8523048523156742,0.02638834437793568,-0.0015913299063144556
k3.9,3.8999554367201426,0.03175060818139775,-0.3786415765573705,0.03158956196924743,-0.0031938526077010454
k4.0,4.0,0.034422140975548195,-1.0513823589991675,0.03377912078468057,-0.006622294795195621
