run_name,k_h,k_v,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
k-1.5,-1.5,-3.0000000000000004,0.023432240400071403,4.557782467572291,-0.02055238344589549,-0.011254751212693214
k-1.4,-1.4000190985485104,-2.800022281639929,0.025166800022120572,6.197260516583187,-0.019995641473342478,-0.015282085768080033
k-1.3,-1.3000381970970207,-2.6000445632798574,0.013667720220593614,4.923998474015648,-0.01186196540644635,-0.0067897240536485505
k-1.2,-1.1999618029029795,-2.3999554367201426,0.009947572742016573,-1.646187770578865,0.008621969069737,-0.0049614365679921365
k-1.1,-1.0999809014514896,-2.1999777183600715,0.046075764366559316,-5.901739422728325,0.03072100652079291,-0.034339420791738705
k-1.0,-1.0,-2.0,0.0836617085778108,-10.624509978954174,0.025147631663516225,-0.07979271961698423
k-0.9,-0.9000190985485104,-1.8000222816399287,0.07621009201943169,-19.35535924703198,-0.018300363355415437,-0.0739802326751546
k-0.8,-0.8000381970970207,-1.6000445632798574,0.11672475431437467,-17.26891677337953,-0.016277810705407673,-0.11558417343386612
k-0.7,-0.6999618029029794,-1.3999554367201426,0.20673341285202024,5.083986498593825,0.1878535973326394,0.08631181818633196
k-0.6,-0.5999809014514897,-1.1999777183600713,0.013410238665598333,32.8000409298626,0.0036222577180142768,-0.012911767891833967
k-0.5,-0.5,-1.0,0.02745691879861886,85.0443722181103,-0.014450236380825522,0.023346799747550336
k-0.4,-0.40001909854851037,-0.8000222816399287,0.0034782969544902118,136.6018156267198,0.003201554650374712,-0.0013596313927973032
k-0.3,-0.3000381970970206,-0.6000445632798574,0.02702752501439074,178.55815212034335,0.0012122522434761026,0.02700032505177862
k-0.2,-0.1999618029029794,-0.3999554367201426,0.002311849884644933,225.15540295122233,0.0022233523198841093,-0.000633525335561839
k-0.1,-0.0999809014514897,-0.1999777183600713,0.024662386085720342,258.9637558389568,-0.021623348632695234,0.011860188925563094
k0.0,0.0,0.0,0.06626158254282401,-3.4185992588952825,0.054665356658054914,-0.03744724425811771
k0.1,0.0999809014514897,0.1999777183600713,0.0286548590435194,-256.76759751503465,0.008650222398893065,0.027318027001481178
k0.2,0.1999618029029794,0.3999554367201426,0.014445646829708558,-260.64919461177425,-0.010190650834977364,0.010238522739548127
k0.3,0.3000381970970206,0.6000445632798574,0.006151150804830006,-180.90616664124497,-0.005431894842276339,-0.002886377426154199
k0.4,0.40001909854851037,0.8000222816399287,0.0064834715140783565,-137.8859720769142,-0.0064761876362502396,0.000307240254434577
k0.5,0.5,1.0,0.03044046293068504,-75.50838466251548,-0.02125730877175286,0.02178872660842687
k0.6,0.5999809014514897,1.1999777183600713,0.014326081327477274,-31.455657082845992,0.011785326757651794,-0.00814510155964121
k0.7,0.6999618029029794,1.3999554367201426,0.24063585377100127,-2.2321372489932685,-0.23651391538782368,0.04434841539469123
k0.8,0.8000381970970207,1.6000445632798574,0.15514585944622097,12.724878784115292,-0.08334938397525297,-0.13085533192901386
k0.9,0.9000190985485104,1.8000222816399287,0.14052078257569386,10.67776210145981,-0.08160798141252573,-0.11439505105317399
k1.0,1.0,2.0,0.10759693057460837,2.4340194817903402,-0.10676718005742145,-0.013336743667898762
k1.1,1.0999809014514896,2.1999777183600715,0.0482765967888277,-4.641765847548442,-0.041653446001264874,0.024405332075814114
k1.2,1.1999618029029795,2.3999554367201426,0.0023022895160164686,-12.504814193931159,-0.0021277780603089955,-0.0008792596554073388
k1.3,1.3000381970970207,2.6000445632798574,0.012778442228100644,-14.100546805625937,0.0005958603794234199,-0.012764542145534994
k1.4,1.4000190985485104,2.800022281639929,0.016651501965638103,-12.820342496419881,0.004880910897557114,-0.01592008877242077
k1.5,1.5,3.0000000000000004,0.025012276915843745,-7.693298617673878,0.017787251709212616,-0.017584870575240604
k1.6,1.5999809014514899,3.1999777183600715,0.022761168002662865,-5.097680880690046,0.01928325804581269,-0.012092424404727287
k1.7,1.6999618029029795,3.399955436720143,0.024273377949195176,-2.7424456237494064,0.023492783287342774,-0.006106227188569278
k1.8,1.8000381970970207,3.6000445632798574,0.016887125050893008,-0.4641017679777368,0.01666095081373573,-0.002754579907495336
k1.9,1.9000190985485106,3.8000222816399285,0.008212257917710046,0.7541160801984256,0.008042092144442634,-0.0016631097520264303
k2.0,2.0,4.0,0.0012570113400562919,1.4926050331330891,-0.0002685868055853918,-0.0012279815295416904
k2.1,2.09998090145149,4.1999777183600715,0.0015064224774430312,1.0301491121918378,3.3167413420881746e-05,-0.0015060573040998702
k2.2,2.1999618029029793,4.399955436720143,0.0012144203742546428,1.4696007071488095,7.910701169726844e-05,-0.0012118411307201597
k2.3,2.3000381970970207,4.600044563279857,0.0013262873986553331,1.1357479010530667,0.00027004917682526934,-0.0012985036410915161
k2.4,2.4000190985485106,4.800022281639929,0.004579621700198971,1.9924507523570487,-0.003061727263318746,-0.003405695388901363
k2.5,2.5,5.000000000000001,0.007004081361004683,2.7943383290358144,-0.002872552205397533,-0.0063879260749353526
k2.6,2.59998090145149,5.199977718360072,0.007384426188845611,2.917970567268272,0.0014094679157538948,-0.007248665417369552
k2.7,2.6999618029029797,5.399955436720143,0.007491087978257119,1.5539895348734505,0.00642586995907564,-0.0038502719861118343
