run_name,delta_phi_vh_deg,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
phi_vh_-75_deg,-75.00017538262476,0.02055943941151791,-7.949964606520432,-0.01712844478172034,0.011371320427964076
phi_vh_-70_deg,-69.99825383113267,0.018439307121143597,-7.645826356123062,-0.01578217015234221,0.009535782736114305
phi_vh_-65_deg,-65.0020618575919,0.017359986668149464,-8.255524472972834,-0.014179878838252225,0.010014997416415736
phi_vh_-60_deg,-60.0001403060998,0.013014443810877655,-8.441594811369571,-0.010739990204637225,0.007350398500135089
phi_vh_-55_deg,-54.99821875460772,0.010002529240424688,-8.378831302655028,-0.0088538623901225,0.004653999568363234
phi_vh_-50_deg,-50.002026781066945,0.008840980210537648,-8.093184907338381,-0.008106879254761655,0.003527242525236025
phi_vh_-45_deg,-45.00010522957486,0.005919541307868175,-8.260689157223155,-0.00586709600465821,0.0007862275546438949
phi_vh_-40_deg,-39.998183678082775,0.0036264030606420385,-8.185208159106041,-0.0034580448183516247,-0.0010921195870899052
phi_vh_-35_deg,-35.00199170454199,0.0035629870341719262,-7.908458773700235,-0.0013446622702011535,-0.003299509052082558
phi_vh_-30_deg,-30.0000701530499,0.005991071725257133,-7.22814882609798,0.001361683087913331,-0.0058342745551839
phi_vh_-25_deg,-24.99814860155782,0.008502094275942736,-6.881950928460686,0.0030814439021810904,-0.007924033730034799
phi_vh_-20_deg,-20.00195662801704,0.01115531889696425,-7.1772024235932115,0.004341909831868361,-0.010275648821602095
phi_vh_-15_deg,-15.00003507652495,0.014903825271358301,-7.088970339723567,0.007653983360166181,-0.012788297245586588
phi_vh_-10_deg,-9.998113525032865,0.01709427088401919,-6.831044719952908,0.00962621650625849,-0.014126218631709717
phi_vh_-5_deg,-5.001921551492087,0.019782686784640183,-6.596786377692718,0.013150180374544077,-0.014779291340796185
phi_vh_0_deg,0.0,0.02300353139289685,-6.178621752295258,0.016842715163314398,-0.01566797378321301
phi_vh_5_deg,5.001921551492087,0.025650549954321575,-5.971034958616048,0.018242970194862845,-0.01803177061268505
phi_vh_10_deg,9.998113525032865,0.02798431986759584,-5.034224434144027,0.022654064896734844,-0.016429105334936696
phi_vh_15_deg,15.00003507652495,0.03114379327891947,-5.023929624119971,0.025206873473873438,-0.018290691333905484
phi_vh_20_deg,20.00195662801704,0.0326733999966194,-4.623717660569595,0.027638520672284516,-0.017425935911358967
phi_vh_25_deg,24.99814860155782,0.03376350149285132,-3.7494855368017346,0.02984122978020517,-0.015794778829181785
phi_vh_30_deg,30.0000701530499,0.03604835752240819,-3.0589464271749924,0.03259140369411138,-0.015404041200633885
phi_vh_35_deg,35.00199170454199,0.0381031984805439,-2.047102501471616,0.035807260627138474,-0.013026658083633808
phi_vh_40_deg,39.998183678082775,0.038918834829957595,-1.2712477799490003,0.03725246156060289,-0.011266313159029644
