run_name,k_h,k_v,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
k-0.04,-0.04001145912910619,-0.07999108734402853,0.012864997435254134,193.8644726937132,-0.012864648624919817,9.473524393862742e-05
k-0.02,-0.019957983193277313,-0.039995543672014265,0.01821092086389055,152.74271426297642,0.01776129402209281,-0.004021700308532982
k0.0,0.0,0.0,0.06626158254282401,-3.4185992588952825,0.054665356658054914,-0.03744724425811771
k0.02,0.019957983193277313,0.039995543672014265,0.009149097464620481,-161.28808916503183,0.008256555826388337,-0.003941480724658908
k0.04,0.04001145912910619,0.07999108734402853,0.01545175746957479,-203.92130730261135,-0.013613192990941261,0.007310115285681077
k0.06,0.0599694423223835,0.11998663101604279,0.0451291948639005,-232.0310416175909,-0.033132906400076996,-0.030640736651517387
k0.08,0.08002291825821238,0.15998217468805706,0.06326049914269437,-241.94801365422933,-0.04775518144063019,0.04148895512489227
k0.10,0.0999809014514897,0.1999777183600713,0.028492030625547646,-258.70801774068826,0.010342928898718866,0.026548439331968102
k0.12,0.12003437738731858,0.23997326203208558,0.024058350247120105,-266.5616125587661,-0.00767765653473115,-0.022800390495511344
k0.14,0.1399923605805959,0.2799688057040999,0.08358034714619708,-270.1314155627861,-0.0721809073489116,0.04213776267632933
k0.16,0.16004583651642476,0.3199643493761141,0.053814846685774784,-270.44773424134286,-0.026889984598290832,0.046615088245300224
k0.18,0.18000381970970208,0.35995989304812837,0.043034888304615077,-271.3075250509088,-0.0351694779276328,0.02480139983324418
k0.20,0.1999618029029794,0.3999554367201426,0.020588765767541928,-259.8211063197524,0.017063848136833135,0.011520519198100522
k0.22,0.22001527883880825,0.43995098039215685,0.036991939616554566,-249.77019766651296,0.010716585014463329,0.03540562670286461
k0.24,0.2399732620320856,0.47994652406417115,0.02566523536237786,-233.78082403040122,-0.013429661036590334,0.021871179909838844
k0.26,0.2600267379679144,0.5200534759358288,0.018214388025274923,-215.82914399870504,0.016964397099407006,0.006631226296011141
k0.28,0.2799847211611918,0.5600490196078433,0.018477045350770185,-200.22877170265758,-0.011233412847768137,-0.01467009341095059
k0.30,0.3000381970970206,0.6000445632798574,0.0034907395362467454,-184.52151163168674,0.0008768185094855236,-0.003378824027874155
k0.32,0.31999618029029797,0.6400401069518717,0.03810034257029343,-179.91963132888742,0.0034567327013955013,0.03794320891812943
k0.34,0.33995416348357527,0.680035650623886,0.019740440088657416,-173.49176551155796,-0.013372500621118708,0.014521060637296869
k0.36,0.36000763941940417,0.7200311942959002,0.01554274054861327,-163.6783666324677,-0.008926122470003751,-0.012724037150684576
k0.38,0.37996562261268146,0.7600267379679145,0.012218286224527591,-149.64928834082136,0.011866449225163002,0.0029109965735309704
k0.40,0.40001909854851037,0.8000222816399287,0.007413420270106074,-133.85638557227563,-0.006559860135808173,-0.0034535539810251134
k0.42,0.41997708174178766,0.840017825311943,0.018164646136246146,-123.07632492731891,0.0041552391362090135,0.01768299626692148
k0.44,0.4400305576776165,0.8800133689839573,0.021753708381516513,-110.97429947088234,-0.011664704881399127,0.01836187594931207
k0.46,0.45998854087089386,0.9200089126559715,0.007193000306566228,-98.76099833710754,0.0006564719823111739,-0.0071629810795996295
k0.48,0.48004201680672276,0.9600044563279858,0.021217740588688645,-91.16353697281288,0.02108734384323581,0.0023487114182101036
k0.50,0.5,1.0,0.024985453600211368,-76.7966850002193,-0.01989121607945739,0.015119934341413356
