run_name,k_v,distance_first_to_last,orientation_change_deg,displacement_x_local,displacement_y_local
k_v_4.1,4.100044563279858,0.013209876997092168,7.394537023533077,-0.010182519509401937,-0.008415292432170953
k_v_4.2,4.1999777183600715,0.014298284573912346,6.594369803416073,-0.011125130831816377,-0.008981781879535288
k_v_4.3,4.300022281639929,0.016400704597610852,5.4633511469513465,-0.012924747768160915,-0.01009623724104744
k_v_4.4,4.399955436720143,0.015830192041274095,4.030488102554247,-0.012975364986827356,-0.009068345136916246
k_v_4.5,4.5,0.013761541971455985,2.0333704750672257,-0.01239601842337991,-0.005976517772028337
k_v_4.6,4.600044563279857,0.005502911643576165,0.6081438768494316,-0.005302954015592227,-0.0014699371638000076
k_v_4.7,4.6999777183600715,0.0031943829459001043,-1.0772853087849308,0.0031767437562048584,-0.0003352335193128426
k_v_4.8,4.800022281639929,0.004490357988332059,-2.2204983750973795,0.004424222390444039,0.0007678353360396799
k_v_4.9,4.899955436720143,0.005108591440907026,-1.9836968797456047,0.004924145526967424,0.0013603298641709108
k_v_5.0,5.000000000000001,0.0038214656011817437,-1.5531799306545713,0.0032703197063886627,-0.001977020070464972
k_v_5.1,5.100044563279858,0.006295180217862023,-0.9091272286693612,0.006177068837700193,-0.001213719304318149
k_v_5.2,5.199977718360072,0.006299963016512037,0.6006341158915632,0.005951237220397984,-0.0020669565926668895
k_v_5.3,5.3000222816399285,0.003607727581713559,1.9128875458947494,0.003602354833606689,0.00019681960432662633
k_v_5.4,5.399955436720143,0.0010576743048364085,1.7020295957249865,0.0009862036967953197,-0.0003822004755863409
k_v_5.5,5.5,0.001544870306241667,-0.12713118340399743,-0.0015076185752867274,-0.000337209867230544
k_v_5.6,5.600044563279858,0.0009789521662781223,-2.5577075130397384,-0.0007933394601173604,0.0005735502112991707
k_v_5.7,5.6999777183600715,0.0009868088352824255,-2.500712695243031,0.00020567040722519836,0.0009651380010046637
k_v_5.8,5.800022281639929,0.0028681259297760647,-0.18662618519352472,0.0027307120131696565,-0.0008771306916216859
k_v_5.9,5.899955436720143,0.005078255449521901,-0.29526896356289223,0.004388519008182269,-0.002555304155168578
k_v_6.0,6.000000000000001,0.008313461348939373,-0.4317326779359858,0.006748838986973699,-0.00485456609062156
